,name,features,total,bar,balance,basic facilities,cool,rocker,swing,integrated,slide,see-saw,climb,mini-game,carousel,sand,walking,track,area,location
0,Fawkner Park North East,"Chin up bar, parallel bars, balance beam, some shade.",4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (144.9850624628153,-37.83877836693305)"
1,Riverslide Skate Park,"Concrete skate ramp, public toilet.",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (144.97300579766576,-37.82044084802013)"
2,Bellair Street Reserve Playground,"Spring rocker, swings, platform, slide, picnic table.",5,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,"POINT (144.93079153280067,-37.79523741189971)"
3,Princes Park North Playground,"Swing, spring riders, see saw.",3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"POINT (144.96212602571646,-37.7812299995885)"
4,Buluk Park Playground,"cubby-like structures with climbing and sliding challenges, musical elements, speaking tubes, waterplay zone – perfect in summer!, terracotta cats to pat.",5,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,"POINT (144.94085807080342,-37.8202662541488)"
5,Mercantile Parade and Tankard Street Playground,"Swing, see saw, small tower, shade structure, stockyard style fencing.",5,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,"POINT (144.92056163500976,-37.79659932545711)"
6,Docklands Park Playground,"Carousels, platforms, swing, slide, public toilet.",5,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,"POINT (144.9472394016587,-37.82179076182036)"
7,Victoria Green Playground,"sandpit, slide, climbing frames, sandplay toy.",4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"POINT (144.94471738498453,-37.82018707299428)"
8,Princes Park South Playground,"Tower platforms, sandpits, rockers, see saw, slide, 5-way swing, boardwalk, fitness track, public toilet, barbecue, picnic table, some shade.",12,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,"POINT (144.9627026408984,-37.78542101659126)"
9,Lincoln Square Playground,"Swings, spinners, double slide, public toilet, picnic table, lots of shade.",6,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,"POINT (144.96264793082148,-37.80284386421725)"
10,NaturePlay Playground Royal Park,"climbing forest, rocky escarpment with slides,swings and water play, picnic tables, barbecues, public toilet.",5,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,"POINT (144.95168469292395,-37.79509104080643)"
11,Flagstaff Gardens Playground,"Sandpit with diggers, spiral slide, swings, sandpit, balancing bridges, public toilet, barbecue, picnic table, shade.",9,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,"POINT (144.95470291580747,-37.80952550537006)"
12,Birrarung Marr Artplay,"Rock and rope climbing features, swinging hammocks, liberty swing for wheelchairs, quiet areas and active play areas, public toilet, picnic table, some shade, disabled access.",8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,"POINT (144.97144684624337,-37.81808817712567)"
13,Mercantile Parade and Newman Street Playground,"Slide, sheep sculptures.",2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"POINT (144.9208578547497,-37.795426409266)"
14,North Melbourne Community Centre Playground,"Combination units, swing, barbeque, some shade.",4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"POINT (144.94006192694974,-37.793581253473654)"
15,Gardiner Reserve Playground,"Multi-level play structure, climbers, see-saw, swings, cubby, barbecue, picnic tables, some shade.",8,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,"POINT (144.94394370005685,-37.79880036314725)"
16,Point Park Playground,"Bells, Musical Wall, Sand pit, Swing, Carousel and Slide",5,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,"POINT (144.94142847629394,-37.82293220815273)"
